"person_id","screening_date","general_two_year","general_six_month","years","recidnot","drug_two_year","property_two_year","misdemeanor_two_year","felony_two_year","drug_six_month","property_six_month","misdemeanor_six_month","felony_six_month","violent_two_year","violent_six_month","nullcharge"
1,2013-08-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2,2014-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
3,2013-01-27,1,1,0.438569472963723,0,0,0,0,1,0,0,0,1,1,1,0
4,2013-04-14,1,1,0.172142368240931,0,0,0,1,0,0,0,1,0,0,0,0
5,2013-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
6,2013-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
7,2013-11-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8,2014-02-19,1,1,0.116187542778919,0,0,1,0,1,0,1,0,1,1,1,0
9,2013-08-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
10,2014-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
11,2013-12-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
12,2014-09-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
13,2013-11-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
14,2013-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
15,2013-10-03,1,1,0.347022587268994,0,0,0,1,0,0,0,1,0,0,0,0
16,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
17,2014-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
18,2013-10-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
19,2013-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
20,2014-06-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
21,2014-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
22,2013-12-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
23,2013-11-17,1,0,0.662731006160164,0,0,0,0,1,0,0,0,0,1,0,0
24,2014-11-15,1,1,0.449520876112252,0,1,0,0,1,1,0,0,1,0,0,0
25,2014-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
26,2013-04-18,1,1,0.0833333333333333,0,0,0,1,0,0,0,1,0,0,0,0
27,2014-10-16,1,1,0.221423682409309,0,0,0,1,0,0,0,1,0,0,0,0
28,2013-11-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
29,2014-10-16,1,1,0.240588637919233,0,0,0,1,0,0,0,1,0,1,1,0
30,2013-02-08,1,0,1.13261464750171,0,1,0,1,0,0,0,0,0,0,0,0
31,2014-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
32,2013-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
33,2013-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
34,2013-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
35,2014-08-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
35,2014-08-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
36,2013-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
37,2013-05-06,1,1,0.5,0,0,0,1,0,0,0,1,0,1,0,0
38,2013-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
39,2013-02-20,1,0,1.43309377138946,0,1,0,1,0,0,0,0,0,0,0,0
40,2014-10-24,1,0,0.810232717316906,0,0,0,0,1,0,0,0,0,1,0,0
41,2013-01-28,1,1,0.44678302532512,0,0,1,0,1,0,1,0,1,1,1,0
42,2014-11-15,1,1,0.0164271047227926,0,0,0,0,1,0,0,0,1,0,0,0
43,2014-12-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
44,2014-11-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
45,2013-12-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
46,2013-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
47,2013-09-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
48,2014-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
49,2013-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
50,2013-04-04,1,0,1.80201916495551,0,1,0,1,0,0,0,0,0,0,0,0
51,2013-04-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
51,2013-08-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
51,2014-10-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
52,2013-12-03,1,0,0.613449691991786,0,0,1,0,1,0,0,0,0,1,0,0
53,2013-09-15,1,0,0.659993155373032,0,1,0,0,1,0,0,0,0,1,0,0
54,2013-01-11,1,0,1.41273100616016,0,0,0,1,0,0,0,0,0,0,0,0
55,2013-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
56,2013-08-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
57,2013-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
58,2013-04-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
59,2014-04-06,1,1,0.19678302532512,0,0,0,1,0,0,0,1,0,1,1,0
60,2013-08-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
61,2013-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
62,2014-09-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
63,2014-08-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
