"person_id","screening_date","sex","race","age_at_current_charge","age_at_first_charge","p_charges","p_incarceration","p_probation","p_juv_fel_count","p_felprop_viol","p_murder","p_felassault","p_misdeassault","p_famviol","p_sex_offense","p_weapon","p_fta_two_year","p_fta_two_year_plus","current_violence","current_violence20","p_pending_charge","p_felony","p_misdemeanor","p_violence","total_convictions","p_arrest","p_property","p_traffic","p_drug","p_dui","p_domestic","p_stalking","p_voyeurism","p_fraud","p_stealing","p_trespass","six_month","one_year","three_year","five_year","general_two_year","general_six_month","drug_two_year","property_two_year","misdemeanor_two_year","felony_two_year","violent_two_year","drug_six_month","property_six_month","misdemeanor_six_month","felony_six_month","violent_six_month"
1001,2014-02-03,1,"African-American",45,19,39,1,3,0,3,0,8,5,0,0,3,0,0,1,0,19,5,6,15,11,22,4,0,1,1,0,0,0,0,2,0,0,0,0,1,"0","0","0","0","0","0","0","0","0","0","0","0"
101,2013-01-13,1,"Hispanic",42,26,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,7,9,2,0,3,0,0,0,0,0,1,2,0,0,0,0,"1","0","0","0","1","0","1","0","0","0","0","0"
101,2014-02-02,1,"Hispanic",43,26,15,1,0,0,1,0,0,1,0,0,0,1,0,1,0,3,6,6,1,12,11,4,0,3,0,0,0,0,0,3,3,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1015,2014-01-22,1,"African-American",35,19,47,1,3,0,3,0,2,1,0,0,1,0,0,1,0,44,5,5,8,10,11,6,0,2,0,0,0,0,0,6,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0"
1016,2013-04-15,1,"Other",27,18,11,1,2,0,3,2,3,0,0,0,0,0,0,0,0,10,4,0,8,4,8,4,0,0,0,0,0,0,0,4,1,0,0,0,1,"1","1","0","0","0","1","1","0","0","0","1","1"
1016,2013-05-11,1,"Other",27,18,12,1,2,0,3,3,3,0,0,0,0,0,0,1,0,10,4,1,8,5,9,4,0,0,0,0,0,0,0,4,1,1,1,1,1,"1","0","0","0","0","1","0","0","0","0","0","0"
102,2013-05-25,1,"Hispanic",19,18,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,3,0,1,0,0,0,0,0,1,2,0,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1027,2013-04-04,1,"African-American",19,18,5,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1032,2013-09-23,1,"Hispanic",26,19,15,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,2,6,0,8,8,0,0,5,0,0,0,0,0,0,0,0,1,1,1,"1","1","0","0","1","0","0","0","0","1","0","0"
1034,2013-01-14,1,"African-American",19,19,7,0,0,0,0,0,0,1,0,0,2,0,0,1,1,6,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"1","1","0","1","1","0","1","0","1","1","0","1"
1036,2013-04-27,1,"African-American",24,20,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,2,1,0,0,0,0,0,0,0,1,0,0,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1044,2013-09-25,1,"African-American",34,17,6,0,1,0,0,0,0,2,0,0,0,0,0,1,0,3,0,1,2,1,10,2,0,2,0,0,0,0,0,1,1,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0"
1048,2013-10-09,1,"African-American",42,20,34,0,1,0,2,0,0,0,0,0,0,3,0,0,0,24,8,14,2,22,14,2,0,11,3,0,0,0,0,2,0,1,1,1,1,"1","0","0","0","1","0","0","0","0","0","0","0"
1049,2013-05-03,1,"Caucasian",50,43,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,1,0,2,0,0,0,0,0,1,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0"
1051,2013-03-18,1,"African-American",30,20,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"1","1","0","0","1","0","0","0","0","1","0","0"
1059,2013-09-21,1,"African-American",21,20,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1060,2013-12-19,1,"African-American",42,42,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1062,2013-03-24,1,"African-American",34,20,15,0,1,0,1,0,0,1,0,0,0,0,0,1,0,8,4,2,2,6,8,5,0,0,0,0,0,0,0,5,4,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1065,2013-08-22,1,"African-American",25,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,8,0,9,14,0,0,3,0,0,0,0,0,0,0,0,1,1,1,"1","1","1","0","0","1","1","1","0","0","1","0"
1066,2013-02-12,1,"Caucasian",37,35,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
107,2013-01-07,1,"African-American",26,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,2,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,"1","0","0","0","1","0","1","0","0","0","0","0"
107,2013-09-18,1,"African-American",26,22,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,3,0,3,3,0,0,1,0,0,0,0,0,0,0,0,1,1,1,"1","0","0","0","0","1","1","0","0","0","0","0"
1074,2014-03-15,1,"African-American",19,19,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1075,2013-12-29,1,"African-American",39,34,5,1,0,0,0,0,1,1,0,0,0,0,0,1,0,3,0,3,2,3,3,0,0,0,0,1,0,0,0,0,0,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1076,2013-02-12,0,"Caucasian",43,43,7,1,0,0,1,0,0,0,0,0,0,0,0,1,0,6,0,2,2,2,2,3,0,0,0,0,0,0,0,3,0,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1079,2013-07-09,1,"African-American",34,25,5,0,0,0,0,0,2,1,0,0,0,0,0,1,0,3,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"1","1","0","0","1","0","1","0","0","1","0","1"
1082,2013-09-29,1,"African-American",47,26,39,1,1,0,0,0,3,1,0,0,3,0,0,0,0,24,15,8,4,23,25,0,2,10,0,0,0,0,0,0,0,0,1,1,1,"1","0","0","0","0","1","0","0","0","0","0","0"
1086,2014-02-28,1,"African-American",20,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,4,0,0,0,0,0,0,0,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1091,2013-02-12,1,"Other",20,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1092,2013-08-08,1,"Hispanic",21,19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0,0,2,1,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1101,2014-02-03,0,"Hispanic",35,33,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1102,2013-03-27,1,"African-American",26,18,20,1,0,0,2,0,0,0,0,0,0,0,0,1,0,10,4,6,0,10,14,6,0,4,0,0,0,0,0,5,4,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1107,2013-04-26,1,"Caucasian",19,15,11,0,0,0,4,0,0,0,0,0,0,0,0,1,1,1,2,0,4,2,0,7,0,0,0,0,0,0,0,7,2,1,1,1,1,"1","0","0","1","1","0","0","0","0","0","0","0"
1110,2013-01-05,0,"African-American",32,22,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,4,6,0,0,4,0,0,0,0,0,0,0,1,1,1,1,"1","0","1","0","0","1","0","0","0","0","0","0"
1111,2013-04-01,1,"African-American",45,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0"
1119,2014-03-13,1,"African-American",21,18,13,1,1,0,2,0,0,1,0,0,0,0,0,1,0,9,1,9,3,10,11,4,0,2,0,0,0,0,0,3,1,1,1,1,1,"1","1","0","0","1","0","0","0","0","1","0","0"
1123,2013-09-09,1,"African-American",47,19,30,0,1,0,1,0,3,0,0,0,0,0,0,0,0,20,7,6,4,13,15,2,0,14,0,0,0,0,0,2,1,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0"
1129,2013-11-13,1,"Other",33,33,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
113,2013-08-25,1,"African-American",19,19,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"1","0","0","0","1","0","0","0","0","0","0","0"
1131,2013-02-14,1,"African-American",18,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,4,0,0,0,0,0,0,0,1,1,1,1,"1","1","0","0","1","0","0","0","0","1","0","0"
1134,2014-03-12,0,"African-American",23,18,7,1,1,0,2,0,0,0,0,0,0,0,0,1,0,3,4,0,1,4,7,6,0,0,0,0,0,0,0,6,4,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1139,2013-11-12,1,"African-American",25,23,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,2,0,0,0,0,0,0,0,1,2,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1140,2013-05-17,1,"African-American",68,46,15,0,2,0,1,0,0,0,0,0,0,0,0,0,0,6,4,5,1,9,8,1,1,0,0,0,0,0,0,1,0,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1142,2014-01-11,0,"African-American",34,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1144,2013-08-13,0,"African-American",27,24,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,3,0,0,4,0,0,0,0,0,0,0,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1146,2013-04-25,1,"African-American",23,18,9,0,0,0,0,0,1,3,0,0,0,0,0,1,0,1,0,3,1,3,5,1,0,1,0,0,0,0,0,0,1,0,0,1,1,"1","0","0","0","1","0","0","0","0","0","0","0"
1147,2013-01-05,1,"African-American",19,19,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
115,2013-11-08,0,"African-American",24,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,"1","1","1","0","0","1","1","1","0","0","1","1"
1150,2013-10-09,0,"African-American",44,20,38,1,4,0,5,0,0,0,0,0,3,0,0,0,0,9,15,14,5,29,22,8,0,24,0,0,0,0,0,6,3,0,0,1,1,"1","0","1","0","0","1","0","0","0","0","0","0"
1151,2013-10-12,1,"Other",19,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,1,1,"1","1","1","0","1","0","0","1","0","1","0","0"
1153,2014-01-01,0,"Caucasian",18,18,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,1,4,1,1,1,1,"1","0","0","0","1","0","0","0","0","0","0","0"
1157,2013-11-05,1,"Native American",25,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,5,0,0,3,2,0,0,1,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0"
1159,2013-09-23,0,"African-American",50,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1161,2014-03-02,1,"African-American",53,23,35,1,2,0,1,0,1,0,0,0,0,0,0,0,0,17,17,10,2,28,30,3,1,19,0,0,0,0,0,2,2,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1163,2013-01-04,1,"African-American",22,18,10,0,3,0,2,0,0,0,0,0,0,0,0,1,0,6,3,1,3,4,8,8,0,0,0,0,0,0,0,7,4,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1165,2013-08-04,1,"Other",21,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1166,2014-03-11,1,"African-American",25,20,9,1,2,0,0,0,0,0,0,0,1,0,0,0,0,5,4,1,0,5,8,0,0,6,0,0,0,0,0,0,0,0,0,1,1,"1","0","0","1","0","1","1","0","0","0","0","0"
1169,2013-05-20,1,"African-American",26,24,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
