Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,,0.0,1.0,0.9928878597419781,inf,6046,0
race,African-American,1.0,0.0,0.975609756097561,0.993491701919948,inf,6146,1
race,African-American,,0.0,1.0,0.992482431769897,inf,6119,2
race,African-American,,0.0,1.0,0.9935950073903761,inf,6089,3
race,African-American,,0.0,1.0,0.9944688465918334,inf,6147,4
race,Caucasian,0.25,0.00010604828732015978,0.9945945945945946,0.9934326051836764,61.333333333333336,28474,0
race,Caucasian,,0.0,1.0,0.9932353873797696,inf,28383,1
race,Caucasian,,0.0,1.0,0.9939845921131318,inf,28427,2
race,Caucasian,0.0,7.084410754135524e-05,1.0,0.9939088796563622,85.5,28402,3
race,Caucasian,0.0,3.543334986889661e-05,1.0,0.9939421688444335,171.0,28393,4
race,Other,,0.0,,1.0,,774,0
race,Other,,0.0,1.0,0.9973821989528796,inf,764,1
race,Other,,0.0,,1.0,,747,2
race,Other,,0.0,,1.0,,802,3
race,Other,,0.0,1.0,0.9920318725099602,inf,753,4
sex,female,,0.0,1.0,0.9948076031525267,inf,10785,0
sex,female,,0.0,1.0,0.995392129757626,inf,10851,1
sex,female,,0.0,1.0,0.9954566527584608,inf,10785,2
sex,female,0.0,9.3694368968425e-05,1.0,0.9970104633781763,31.0,10704,3
sex,female,0.0,9.25240562546262e-05,1.0,0.9953946762457401,49.0,10857,4
sex,male,0.25,0.0001232690964375231,0.9941860465116279,0.9929005671386022,57.0,24509,0
sex,male,1.0,0.0,0.9945945945945946,0.9924719744701743,inf,24442,1
sex,male,,0.0,1.0,0.9931450954790273,inf,24508,2
sex,male,0.0,4.096681687832855e-05,1.0,0.9926796535035992,179.0,24589,3
sex,male,,0.0,1.0,0.9933704370600753,inf,24436,4
