Problem,Performance,Model,Time
General,0.735,CART,Two Year
General,0.741,EBM,Two Year
General,0.739,L1 Stumps,Two Year
General,0.708,RiskSLIM,Two Year
General,0.686,Arnold PSA,Two Year
Violent,0.813,CART,Two Year
Violent,0.817,EBM,Two Year
Violent,0.816,L1 Stumps,Two Year
Violent,0.792,RiskSLIM,Two Year
Violent,0.79,Arnold PSA,Two Year
Drug,0.711,CART,Two Year
Drug,0.711,EBM,Two Year
Drug,0.715,L1 Stumps,Two Year
Drug,0.682,RiskSLIM,Two Year
Drug,0,Arnold PSA,Two Year
Property,0.775,CART,Two Year
Property,0.784,EBM,Two Year
Property,0.782,L1 Stumps,Two Year
Property,0.746,RiskSLIM,Two Year
Property,0,Arnold PSA,Two Year
Felony,0.754,CART,Two Year
Felony,0.764,EBM,Two Year
Felony,0.761,L1 Stumps,Two Year
Felony,0.731,RiskSLIM,Two Year
Felony,0,Arnold PSA,Two Year
Misdemeanor,0.708,CART,Two Year
Misdemeanor,0.716,EBM,Two Year
Misdemeanor,0.712,L1 Stumps,Two Year
Misdemeanor,0.671,RiskSLIM,Two Year
Misdemeanor,0,Arnold PSA,Two Year
General,0.77,CART,Six Month
General,0.777,EBM,Six Month
General,0.774,L1 Stumps,Six Month
General,0.744,RiskSLIM,Six Month
General,0.691,Arnold PSA,Six Month
Violent,0.863,CART,Six Month
Violent,0.877,EBM,Six Month
Violent,0.877,L1 Stumps,Six Month
Violent,0.86,RiskSLIM,Six Month
Violent,0.843,Arnold PSA,Six Month
Drug,0.769,CART,Six Month
Drug,0.777,EBM,Six Month
Drug,0.777,L1 Stumps,Six Month
Drug,0.752,RiskSLIM,Six Month
Drug,0,Arnold PSA,Six Month
Property,0.817,CART,Six Month
Property,0.8,EBM,Six Month
Property,0.83,L1 Stumps,Six Month
Property,0.805,RiskSLIM,Six Month
Property,0,Arnold PSA,Six Month
Felony,0.798,CART,Six Month
Felony,0.811,EBM,Six Month
Felony,0.809,L1 Stumps,Six Month
Felony,0.781,RiskSLIM,Six Month
Felony,0,Arnold PSA,Six Month
Misdemeanor,0.744,CART,Six Month
Misdemeanor,0.753,EBM,Six Month
Misdemeanor,0.749,L1 Stumps,Six Month
Misdemeanor,0.7,RiskSLIM,Six Month
Misdemeanor,0,Arnold PSA,Six Month
