Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,,0.0,1.0,0.9209525384488176,inf,6047,0
race,African-American,,0.0,1.0,0.9205041202132817,inf,6189,1
race,African-American,,0.0,1.0,0.9194880933095739,inf,6173,2
race,African-American,,0.0,1.0,0.9151145541453767,inf,6067,3
race,African-American,,0.0,1.0,0.9128644374897051,inf,6071,4
race,Caucasian,,0.0,1.0,0.9169387396875549,inf,28485,0
race,Caucasian,,0.0,1.0,0.9137979683972912,inf,28352,1
race,Caucasian,,0.0,1.0,0.916581389604432,inf,28339,2
race,Caucasian,,0.0,1.0,0.9178072551986207,inf,28421,3
race,Caucasian,,0.0,1.0,0.9159820237342883,inf,28482,4
race,Other,,0.0,1.0,0.9645669291338582,inf,762,0
race,Other,,0.0,1.0,0.9747340425531915,inf,752,1
race,Other,,0.0,1.0,0.970550576184379,inf,781,2
race,Other,,0.0,1.0,0.9801242236024845,inf,805,3
race,Other,,0.0,1.0,0.9756756756756757,inf,740,4
sex,female,,0.0,1.0,0.9270019306794153,inf,10877,0
sex,female,,0.0,1.0,0.9230483616448528,inf,10773,1
sex,female,,0.0,1.0,0.92380073800738,inf,10840,2
sex,female,,0.0,1.0,0.924705000936505,inf,10678,3
sex,female,,0.0,1.0,0.9264841871647864,inf,10814,4
sex,male,,0.0,1.0,0.9149363148625957,inf,24417,0
sex,male,,0.0,1.0,0.9132952691680261,inf,24520,1
sex,male,,0.0,1.0,0.9158385474174948,inf,24453,2
sex,male,,0.0,1.0,0.916189315458054,inf,24615,3
sex,male,,0.0,1.0,0.9123738714816781,inf,24479,4
